"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,8
7.9,0.22,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,6
5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5
7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6
6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4
6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,7
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,6
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6
6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6
6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,6
6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6
7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
7.3,0.3,0.22,6.4,0.056,44,168,0.9947,3.13,0.35,10.1,6
5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,6
8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5
7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,7
6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2,6
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6
7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2,6
5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,7
6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,6
6.2,0.32,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6
8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5
5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6
6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6
5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4
6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6
8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,6
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
7.3,0.28,0.54,12.9,0.049,62,152,0.9984,3.06,0.45,9.1,6
7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,6
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6
5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5
6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6
5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,6
7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6
6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,6
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6
7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5
5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,6
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6
6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6
7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,5
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,5
7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,6
6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6
8,0.28,0.3,8.4,0.03,35,115,0.99192,2.93,0.42,12.3,6
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5
7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5
7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7
8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
8.2,0.15,0.48,2.7,0.052,24,190,0.995,3.5,0.45,10.9,7
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
8.8,0.23,0.35,10.7,0.04,26,183,0.9984,2.93,0.49,9.1,6
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,6
6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6
6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,6
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8
7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5
5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,6
6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,6
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,4
6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,6
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7
8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6
7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,6
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5
6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5
6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5
6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,7
6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5
6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6
6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,7
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6
7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6
7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,5
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6
7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,6
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5
6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,6
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666667,5
5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,6
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5
7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6
6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6
6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,6
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5
7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6
7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
8.1,0.24,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,6
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7
7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,4
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6
8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,6
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7
6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,5
6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,6
6.6,0.38,0.28,2.8,0.043,17,67,0.98924,3.21,0.47,13.2,6
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,6
7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8,5
5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7
6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5
7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7
6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,4
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15,7
7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5
7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7
7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,5
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8
7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6
7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,5
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7
6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,6
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,6
7.3,0.145,0.33,1.1,0.042,14,64,0.99012,3.1,0.37,11.8,7
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,6
6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5
6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6
6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6
8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6
7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4
6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,5
6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7
6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7
7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5
6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,7
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8,6
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,8
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,6
